File,WaveData20240909_167.csv,
Date/Time,24-09-09/21:34,

Trace,A
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm
Trace,B
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm
Trace,C
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm
Trace,D
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm
Trace,E
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm
Trace,F
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm
Trace,G
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm
Trace,H
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm
Trace,I
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm
Trace,J
Center Wavelength,1548.48,nm
Span Wavelength,150,nm
Start Wavelength,1473.48,nm
Stop Wavelength,1623.48,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.03,nm
Actual Resolution,0.033,nm
VBW,10000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,10001,pt
Trace Type,Fix,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,
Start,1473.48,nm
Stop,1623.48,nm

Wavelength(A),Level(A),Wavelength(B),Level(B),Wavelength(C),Level(C),Wavelength(D),Level(D),Wavelength(E),Level(E),Wavelength(F),Level(F),Wavelength(G),Level(G),Wavelength(H),Level(H),Wavelength(I),Level(I),Wavelength(J),Level(J)
1473.480000,9.2240E-008,1473.480000,2.1380E-007,1473.480000,-3.0660E-008,1473.480000,1.3850E-007,1473.480000,1.2910E-007,1473.480000,-6.0950E-008,1473.480000,2.3170E-007,1473.480000,-7.2070E-008,1473.480000,3.0660E-008,1473.480000,3.4800E-007
1473.495000,2.6080E-007,1473.495000,-3.0220E-007,1473.495000,4.9620E-007,1473.495000,-1.9350E-008,1473.495000,4.4880E-008,1473.495000,4.6940E-008,1473.495000,-3.4460E-007,1473.495000,3.1570E-007,1473.495000,2.1640E-007,1473.495000,-3.0400E-007
1473.510000,1.5930E-007,1473.510000,7.5970E-008,1473.510000,-6.0970E-007,1473.510000,9.8420E-008,1473.510000,-7.2480E-008,1473.510000,7.5360E-008,1473.510000,3.6440E-007,1473.510000,-2.2990E-007,1473.510000,5.7860E-008,1473.510000,6.3840E-009
1473.525000,-6.0520E-008,1473.525000,1.8180E-007,1473.525000,7.0420E-008,1473.525000,2.1940E-007,1473.525000,-4.1810E-007,1473.525000,-1.3420E-007,1473.525000,-1.1530E-007,1473.525000,3.7830E-007,1473.525000,1.2040E-007,1473.525000,-5.1060E-008
1473.540000,1.0020E-007,1473.540000,5.7290E-007,1473.540000,2.7470E-007,1473.540000,-1.8030E-007,1473.540000,3.2780E-007,1473.540000,-1.2600E-007,1473.540000,2.0410E-007,1473.540000,-9.4730E-009,1473.540000,-2.4320E-007,1473.540000,8.0510E-008
1473.555000,2.5450E-007,1473.555000,-4.0920E-007,1473.555000,1.9770E-008,1473.555000,4.0620E-007,1473.555000,-1.5710E-007,1473.555000,-4.7890E-007,1473.555000,1.2930E-007,1473.555000,9.7590E-008,1473.555000,1.1260E-007,1473.555000,-2.3090E-007
1473.570000,-2.7230E-007,1473.570000,6.7050E-007,1473.570000,3.9730E-008,1473.570000,-5.8890E-008,1473.570000,1.6650E-007,1473.570000,2.2710E-007,1473.570000,-1.5650E-007,1473.570000,-2.1780E-007,1473.570000,-7.9680E-008,1473.570000,-3.1690E-008
1473.585000,3.0950E-007,1473.585000,2.2850E-008,1473.585000,2.5960E-007,1473.585000,6.5470E-008,1473.585000,-2.3940E-007,1473.585000,8.2150E-008,1473.585000,2.1640E-007,1473.585000,1.1380E-007,1473.585000,8.9150E-008,1473.585000,-2.1780E-007
1473.600000,7.3100E-008,1473.600000,9.1840E-008,1473.600000,-3.4380E-008,1473.600000,3.5210E-008,1473.600000,4.3810E-007,1473.600000,-6.8160E-008,1473.600000,-9.2040E-008,1473.600000,-2.8240E-007,1473.600000,2.5310E-008,1473.600000,1.6840E-007
1473.615000,1.6860E-007,1473.615000,-1.4620E-008,1473.615000,-3.3350E-008,1473.615000,-1.2800E-007,1473.615000,-1.7250E-007,1473.615000,4.4270E-008,1473.615000,3.3850E-007,1473.615000,1.5830E-007,1473.615000,-4.6940E-008,1473.615000,-1.3790E-007
1473.630000,2.5070E-007,1473.630000,3.2560E-007,1473.630000,-2.0730E-007,1473.630000,2.9110E-007,1473.630000,-5.3540E-008,1473.630000,8.7720E-008,1473.630000,-6.6500E-008,1473.630000,-4.0960E-008,1473.630000,3.0060E-008,1473.630000,-9.8220E-008
1473.645000,1.3030E-007,1473.645000,-1.9770E-008,1473.645000,-1.4350E-007,1473.645000,1.8740E-008,1473.645000,-1.0480E-007,1473.645000,3.2950E-009,1473.645000,4.2620E-008,1473.645000,-2.3210E-007,1473.645000,8.5460E-008,1473.645000,-2.7270E-007
1473.660000,2.0710E-007,1473.660000,-2.1340E-007,1473.660000,2.5330E-007,1473.660000,-4.8830E-007,1473.660000,-1.6470E-007,1473.660000,1.5670E-007,1473.660000,-1.1010E-007,1473.660000,4.7600E-007,1473.660000,1.6430E-007,1473.660000,2.0180E-007
1473.675000,2.9760E-007,1473.675000,3.1690E-007,1473.675000,-1.5360E-007,1473.675000,2.9210E-007,1473.675000,6.1780E-008,1473.675000,1.5480E-007,1473.675000,8.1120E-008,1473.675000,-2.0250E-007,1473.675000,-4.2820E-008,1473.675000,-2.4420E-007
1473.690000,-1.1690E-007,1473.690000,9.9450E-008,1473.690000,3.5670E-007,1473.690000,-1.3590E-007,1473.690000,-2.0990E-008,1473.690000,-1.1570E-007,1473.690000,9.3270E-008,1473.690000,1.2890E-007,1473.690000,1.2560E-008,1473.690000,2.0630E-007
1473.705000,4.4780E-007,1473.705000,3.0360E-007,1473.705000,5.0690E-007,1473.705000,1.7560E-007,1473.705000,-1.3920E-007,1473.705000,-9.2450E-008,1473.705000,-1.8570E-007,1473.705000,-1.1200E-007,1473.705000,1.8940E-008,1473.705000,-7.5360E-008
1473.720000,3.4180E-008,1473.720000,-2.9010E-007,1473.720000,-6.3960E-007,1473.720000,-8.8550E-008,1473.720000,1.4200E-008,1473.720000,1.8740E-008,1473.720000,-2.2410E-007,1473.720000,3.5090E-007,1473.720000,-5.6000E-008,1473.720000,-3.8980E-007
1473.735000,3.6480E-007,1473.735000,-5.3320E-008,1473.735000,6.0280E-007,1473.735000,-2.9470E-007,1473.735000,5.3110E-008,1473.735000,2.5940E-007,1473.735000,2.4910E-008,1473.735000,-3.0990E-007,1473.735000,6.7330E-008,1473.735000,2.8890E-007
1473.750000,9.2040E-008,1473.750000,-3.5590E-007,1473.750000,-4.9120E-007,1473.750000,3.0440E-007,1473.750000,-1.1140E-007,1473.750000,1.6060E-007,1473.750000,3.1090E-008,1473.750000,2.0790E-008,1473.750000,-3.9370E-007,1473.750000,-1.7990E-007
1473.765000,1.9810E-007,1473.765000,2.3270E-007,1473.765000,7.6030E-007,1473.765000,-1.4760E-007,1473.765000,1.6700E-007,1473.765000,5.1480E-009,1473.765000,4.9420E-008,1473.765000,3.2950E-009,1473.765000,2.0790E-007,1473.765000,-2.3380E-007
1473.780000,4.8390E-008,1473.780000,4.2620E-008,1473.780000,-1.5440E-007,1473.780000,-1.1070E-007,1473.780000,-4.1490E-007,1473.780000,-1.6650E-007,1473.780000,-3.0890E-008,1473.780000,-1.8360E-007,1473.780000,-1.2800E-007,1473.780000,-7.4130E-008
1473.795000,1.7290E-007,1473.795000,2.9190E-007,1473.795000,3.6340E-007,1473.795000,-5.3320E-008,1473.795000,-1.1770E-007,1473.795000,-1.5650E-008,1473.795000,6.8160E-008,1473.795000,6.7730E-008,1473.795000,-7.9890E-008,1473.795000,2.4870E-007
1473.810000,1.8840E-007,1473.810000,-8.7720E-008,1473.810000,5.8260E-008,1473.810000,1.8840E-007,1473.810000,1.2100E-007,1473.810000,2.9410E-007,1473.810000,1.0330E-007,1473.810000,1.1320E-008,1473.810000,7.1250E-008,1473.810000,-8.7090E-008
1473.825000,-1.7560E-007,1473.825000,3.0320E-007,1473.825000,3.0890E-008,1473.825000,3.6440E-007,1473.825000,8.7920E-008,1473.825000,1.4040E-007,1473.825000,1.1730E-008,1473.825000,5.3940E-008,1473.825000,-5.1680E-008,1473.825000,-1.5010E-007
1473.840000,4.9040E-007,1473.840000,-4.4070E-007,1473.840000,2.9940E-007,1473.840000,4.7440E-007,1473.840000,9.5960E-008,1473.840000,6.3410E-008,1473.840000,2.9350E-007,1473.840000,-3.3510E-007,1473.840000,-1.6680E-007,1473.840000,-3.8090E-008
1473.855000,1.3590E-008,1473.855000,6.9310E-007,1473.855000,2.7170E-007,1473.855000,2.0670E-007,1473.855000,-2.2830E-007,1473.855000,3.4380E-008,1473.855000,-2.5210E-007,1473.855000,1.2190E-007,1473.855000,1.2540E-007,1473.855000,2.6570E-007
1473.870000,2.3400E-007,1473.870000,-9.4500E-008,1473.870000,2.1640E-007,1473.870000,5.7440E-008,1473.870000,4.6110E-008,1473.870000,-1.9560E-008,1473.870000,1.8760E-007,1473.870000,3.1090E-008,1473.870000,-1.9830E-007,1473.870000,-3.6600E-007
1473.885000,9.6790E-009,1473.885000,1.9210E-007,1473.885000,1.0190E-007,1473.885000,-8.1120E-008,1473.885000,1.8820E-007,1473.885000,-2.5150E-007,1473.885000,-3.1290E-008,1473.885000,-8.1540E-008,1473.885000,1.9870E-007,1473.885000,2.9110E-007
1473.900000,3.3790E-007,1473.900000,2.5840E-007,1473.900000,-4.6940E-008,1473.900000,-7.7220E-008,1473.900000,-2.4990E-007,1473.900000,2.5090E-007,1473.900000,8.8120E-008,1473.900000,4.7640E-007,1473.900000,-1.1900E-007,1473.900000,-1.4780E-007
1473.915000,-1.3220E-007,1473.915000,-2.4280E-008,1473.915000,-1.2450E-007,1473.915000,8.5240E-008,1473.915000,-8.4830E-008,1473.915000,2.6870E-007,1473.915000,-1.7270E-007,1473.915000,-5.2210E-007,1473.915000,-9.4300E-008,1473.915000,-3.0260E-007
1473.930000,-2.4300E-007,1473.930000,5.5600E-009,1473.930000,2.9940E-007,1473.930000,1.5400E-007,1473.930000,-6.8980E-008,1473.930000,-2.1840E-007,1473.930000,-1.0250E-007,1473.930000,3.7770E-007,1473.930000,2.8020E-007,1473.930000,-6.6300E-008
1473.945000,3.8090E-007,1473.945000,1.6040E-007,1473.945000,4.1000E-007,1473.945000,4.3540E-007,1473.945000,2.3960E-007,1473.945000,-4.0760E-008,1473.945000,-1.0700E-007,1473.945000,1.4720E-007,1473.945000,-1.6470E-008,1473.945000,-3.0910E-007
1473.960000,-2.3190E-007,1473.960000,8.7720E-008,1473.960000,-1.3380E-008,1473.960000,-1.2120E-007,1473.960000,2.2650E-009,1473.960000,8.7300E-008,1473.960000,-8.5040E-008,1473.960000,-2.1420E-007,1473.960000,6.9790E-008,1473.960000,3.1210E-007
1473.975000,6.6240E-007,1473.975000,2.1420E-007,1473.975000,-1.8320E-008,1473.975000,1.9150E-008,1473.975000,3.1920E-008,1473.975000,-3.3850E-007,1473.975000,-2.9570E-007,1473.975000,3.0180E-007,1473.975000,-1.7150E-007,1473.975000,-4.1970E-007
1473.990000,2.1560E-007,1473.990000,-1.2600E-007,1473.990000,-8.4210E-008,1473.990000,4.0960E-007,1473.990000,6.2380E-008,1473.990000,1.9930E-007,1473.990000,3.2180E-007,1473.990000,-7.3710E-008,1473.990000,1.2800E-007,1473.990000,1.5360E-007
1474.005000,4.4880E-007,1474.005000,-9.5960E-008,1474.005000,-1.8650E-007,1474.005000,-1.7790E-007,1474.005000,2.8000E-008,1474.005000,-8.6270E-008,1474.005000,2.2430E-007,1474.005000,-1.0190E-007,1474.005000,1.5460E-007,1474.005000,3.1310E-007
1474.020000,-1.0150E-007,1474.020000,-1.1530E-007,1474.020000,2.6140E-007,1474.020000,-2.8260E-007,1474.020000,1.5090E-007,1474.020000,1.0480E-007,1474.020000,-1.2680E-007,1474.020000,-1.3110E-007,1474.020000,5.9920E-008,1474.020000,-1.6720E-007
